               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,             0.04507,            0.024038,           0.0037649,             0.84365,             0.88126,             0.92088,             0.55243,             0.03406,            0.013221,           0.0026231,           0.0074062,           0.0074062,           0.0074062
                 133,            0.042154,            0.026522,           0.0046738,             0.86275,             0.87528,             0.91502,             0.49934,            0.035609,            0.013441,           0.0026348,           0.0073864,           0.0073864,           0.0073864
                 134,            0.045018,            0.023295,           0.0033246,             0.84459,             0.87538,             0.90741,             0.48584,            0.036397,            0.013532,           0.0026712,           0.0073666,           0.0073666,           0.0073666
                 135,            0.043392,            0.025039,           0.0033439,             0.82992,             0.86061,             0.90303,             0.48379,            0.035906,            0.013511,           0.0026474,           0.0073468,           0.0073468,           0.0073468
                 136,            0.044958,            0.025885,           0.0031615,              0.8705,             0.83587,              0.9167,              0.5016,             0.03596,            0.013752,           0.0025778,            0.007327,            0.007327,            0.007327
                 137,            0.043597,            0.022239,           0.0034718,              0.8865,             0.82608,              0.9062,              0.4745,            0.036054,            0.013941,           0.0025957,           0.0073072,           0.0073072,           0.0073072
                 138,            0.048859,            0.044262,           0.0033609,             0.83505,             0.83947,             0.89414,             0.49086,               0.038,            0.014189,            0.002617,           0.0072874,           0.0072874,           0.0072874
                 139,            0.044754,            0.022493,           0.0035769,              0.8423,             0.84868,             0.91653,             0.52176,            0.035515,            0.013484,           0.0026569,           0.0072676,           0.0072676,           0.0072676
                 140,            0.040062,             0.02055,           0.0032191,             0.84667,              0.8541,             0.91871,             0.54934,            0.033578,            0.013432,           0.0026381,           0.0072478,           0.0072478,           0.0072478
                 141,             0.04109,            0.023936,           0.0028735,             0.84064,             0.87836,             0.93047,             0.55647,            0.034266,            0.013272,           0.0025792,            0.007228,            0.007228,            0.007228
                 142,             0.04133,            0.024044,           0.0030946,             0.80784,             0.87651,              0.9142,             0.52658,             0.03615,            0.013243,           0.0025257,           0.0072082,           0.0072082,           0.0072082
                 143,            0.040699,            0.025147,           0.0030658,             0.81526,               0.855,              0.9238,             0.50772,            0.037024,            0.013202,           0.0024906,           0.0071884,           0.0071884,           0.0071884
                 144,            0.041646,            0.021969,           0.0027914,             0.83812,              0.8547,             0.91522,             0.50832,            0.035536,            0.013166,           0.0024806,           0.0071686,           0.0071686,           0.0071686
                 145,            0.044212,            0.025235,           0.0034284,             0.84067,             0.90219,             0.93176,             0.56881,            0.032956,             0.01317,           0.0024211,           0.0071488,           0.0071488,           0.0071488
                 146,              0.0439,            0.024418,           0.0048834,             0.82436,             0.88948,             0.92107,             0.51341,            0.035875,            0.013067,           0.0023381,            0.007129,            0.007129,            0.007129
                 147,            0.041482,            0.021741,           0.0034204,              0.7546,             0.89813,             0.87983,             0.50239,            0.035709,             0.01312,           0.0023244,           0.0071092,           0.0071092,           0.0071092
                 148,            0.043126,            0.021804,           0.0030946,             0.82128,             0.89999,             0.92651,             0.54746,            0.034943,            0.012863,           0.0023185,           0.0070894,           0.0070894,           0.0070894
                 149,            0.041639,            0.024474,           0.0026143,             0.80336,             0.87295,             0.91548,              0.5583,            0.034643,            0.012966,            0.002329,           0.0070696,           0.0070696,           0.0070696
                 150,            0.043343,             0.02646,           0.0031208,             0.80392,             0.89428,             0.91389,              0.5033,            0.034529,            0.013267,           0.0023262,           0.0070498,           0.0070498,           0.0070498
                 151,            0.045379,            0.026051,           0.0028142,             0.85339,             0.85258,             0.92195,             0.48253,            0.035228,            0.013373,           0.0023002,             0.00703,             0.00703,             0.00703
                 152,            0.044143,            0.024003,            0.002856,             0.81074,              0.8952,             0.92531,             0.51407,            0.033721,            0.013031,           0.0022799,           0.0070102,           0.0070102,           0.0070102
                 153,            0.045693,            0.025196,           0.0035813,             0.82106,              0.9198,             0.93704,             0.59894,            0.030647,            0.012828,           0.0022867,           0.0069904,           0.0069904,           0.0069904
                 154,            0.040907,            0.022972,           0.0028881,             0.89382,             0.81584,             0.93765,             0.52996,            0.033196,             0.01299,           0.0022798,           0.0069706,           0.0069706,           0.0069706
